gray_img,rgb_img,Label
"[[[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 ...

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]]","[[[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 ...

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]]",No
"[[[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 ...

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]]","[[[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 ...

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]]",No
"[[[6 6 6]
  [6 6 6]
  [6 6 6]
  ...
  [6 6 6]
  [6 6 6]
  [6 6 6]]

 [[6 6 6]
  [6 6 6]
  [6 6 6]
  ...
  [6 6 6]
  [6 6 6]
  [6 6 6]]

 [[6 6 6]
  [6 6 6]
  [6 6 6]
  ...
  [6 6 6]
  [6 6 6]
  [6 6 6]]

 ...

 [[6 6 6]
  [6 6 6]
  [6 6 6]
  ...
  [6 6 6]
  [6 6 6]
  [6 6 6]]

 [[6 6 6]
  [6 6 6]
  [6 6 6]
  ...
  [6 6 6]
  [6 6 6]
  [6 6 6]]

 [[6 6 6]
  [6 6 6]
  [6 6 6]
  ...
  [6 6 6]
  [6 6 6]
  [6 6 6]]]","[[[6 6 6]
  [6 6 6]
  [6 6 6]
  ...
  [6 6 6]
  [6 6 6]
  [6 6 6]]

 [[6 6 6]
  [6 6 6]
  [6 6 6]
  ...
  [6 6 6]
  [6 6 6]
  [6 6 6]]

 [[6 6 6]
  [6 6 6]
  [6 6 6]
  ...
  [6 6 6]
  [6 6 6]
  [6 6 6]]

 ...

 [[6 6 6]
  [6 6 6]
  [6 6 6]
  ...
  [6 6 6]
  [6 6 6]
  [6 6 6]]

 [[6 6 6]
  [6 6 6]
  [6 6 6]
  ...
  [6 6 6]
  [6 6 6]
  [6 6 6]]

 [[6 6 6]
  [6 6 6]
  [6 6 6]
  ...
  [6 6 6]
  [6 6 6]
  [6 6 6]]]",No
"[[[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 ...

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [1 1 1]
  [1 1 1]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [1 1 1]
  [1 1 1]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [2 2 2]
  [2 2 2]]]","[[[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 ...

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [1 1 1]
  [1 1 1]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [1 1 1]
  [1 1 1]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [2 2 2]
  [2 2 2]]]",No
"[[[10 10 10]
  [10 10 10]
  [10 10 10]
  ...
  [10 10 10]
  [ 9  9  9]
  [ 9  9  9]]

 [[10 10 10]
  [10 10 10]
  [10 10 10]
  ...
  [10 10 10]
  [ 9  9  9]
  [ 9  9  9]]

 [[10 10 10]
  [10 10 10]
  [10 10 10]
  ...
  [10 10 10]
  [ 9  9  9]
  [ 9  9  9]]

 ...

 [[10 10 10]
  [10 10 10]
  [11 11 11]
  ...
  [11 11 11]
  [12 12 12]
  [12 12 12]]

 [[ 9  9  9]
  [ 9  9  9]
  [ 9  9  9]
  ...
  [10 10 10]
  [11 11 11]
  [11 11 11]]

 [[ 9  9  9]
  [ 9  9  9]
  [ 9  9  9]
  ...
  [10 10 10]
  [11 11 11]
  [11 11 11]]]","[[[10 10 10]
  [10 10 10]
  [10 10 10]
  ...
  [10 10 10]
  [ 9  9  9]
  [ 9  9  9]]

 [[10 10 10]
  [10 10 10]
  [10 10 10]
  ...
  [10 10 10]
  [ 9  9  9]
  [ 9  9  9]]

 [[10 10 10]
  [10 10 10]
  [10 10 10]
  ...
  [10 10 10]
  [ 9  9  9]
  [ 9  9  9]]

 ...

 [[10 10 10]
  [10 10 10]
  [11 11 11]
  ...
  [11 11 11]
  [12 12 12]
  [12 12 12]]

 [[ 9  9  9]
  [ 9  9  9]
  [ 9  9  9]
  ...
  [10 10 10]
  [11 11 11]
  [11 11 11]]

 [[ 9  9  9]
  [ 9  9  9]
  [ 9  9  9]
  ...
  [10 10 10]
  [11 11 11]
  [11 11 11]]]",No
"[[[10 10 10]
  [10 10 10]
  [10 10 10]
  ...
  [10 10 10]
  [10 10 10]
  [10 10 10]]

 [[10 10 10]
  [10 10 10]
  [10 10 10]
  ...
  [10 10 10]
  [10 10 10]
  [10 10 10]]

 [[10 10 10]
  [10 10 10]
  [10 10 10]
  ...
  [10 10 10]
  [10 10 10]
  [10 10 10]]

 ...

 [[10 10 10]
  [10 10 10]
  [10 10 10]
  ...
  [10 10 10]
  [10 10 10]
  [10 10 10]]

 [[10 10 10]
  [10 10 10]
  [10 10 10]
  ...
  [10 10 10]
  [10 10 10]
  [10 10 10]]

 [[10 10 10]
  [10 10 10]
  [10 10 10]
  ...
  [10 10 10]
  [10 10 10]
  [10 10 10]]]","[[[10 10 10]
  [10 10 10]
  [10 10 10]
  ...
  [10 10 10]
  [10 10 10]
  [10 10 10]]

 [[10 10 10]
  [10 10 10]
  [10 10 10]
  ...
  [10 10 10]
  [10 10 10]
  [10 10 10]]

 [[10 10 10]
  [10 10 10]
  [10 10 10]
  ...
  [10 10 10]
  [10 10 10]
  [10 10 10]]

 ...

 [[10 10 10]
  [10 10 10]
  [10 10 10]
  ...
  [10 10 10]
  [10 10 10]
  [10 10 10]]

 [[10 10 10]
  [10 10 10]
  [10 10 10]
  ...
  [10 10 10]
  [10 10 10]
  [10 10 10]]

 [[10 10 10]
  [10 10 10]
  [10 10 10]
  ...
  [10 10 10]
  [10 10 10]
  [10 10 10]]]",No
"[[[ 5  5  5]
  [ 5  5  5]
  [ 3  3  3]
  ...
  [ 4  4  4]
  [ 4  4  4]
  [ 6  6  6]]

 [[ 5  5  5]
  [ 8  8  8]
  [ 8  8  8]
  ...
  [11 11 11]
  [12 12 12]
  [14 14 14]]

 [[ 2  2  2]
  [ 8  8  8]
  [10 10 10]
  ...
  [10 10 10]
  [12 12 12]
  [13 13 13]]

 ...

 [[ 6  6  6]
  [ 8  8  8]
  [ 9  9  9]
  ...
  [ 9  9  9]
  [ 8  8  8]
  [ 8  8  8]]

 [[ 6  6  6]
  [ 8  8  8]
  [ 9  9  9]
  ...
  [ 8  8  8]
  [ 8  8  8]
  [ 6  6  6]]

 [[ 6  6  6]
  [ 8  8  8]
  [ 9  9  9]
  ...
  [ 8  8  8]
  [ 8  8  8]
  [ 6  6  6]]]","[[[ 5  5  5]
  [ 5  5  5]
  [ 3  3  3]
  ...
  [ 4  4  4]
  [ 4  4  4]
  [ 6  6  6]]

 [[ 5  5  5]
  [ 8  8  8]
  [ 8  8  8]
  ...
  [11 11 11]
  [12 12 12]
  [14 14 14]]

 [[ 2  2  2]
  [ 8  8  8]
  [10 10 10]
  ...
  [10 10 10]
  [12 12 12]
  [13 13 13]]

 ...

 [[ 6  6  6]
  [ 8  8  8]
  [ 9  9  9]
  ...
  [ 9  9  9]
  [ 8  8  8]
  [ 8  8  8]]

 [[ 6  6  6]
  [ 8  8  8]
  [ 9  9  9]
  ...
  [ 8  8  8]
  [ 8  8  8]
  [ 6  6  6]]

 [[ 6  6  6]
  [ 8  8  8]
  [ 9  9  9]
  ...
  [ 8  8  8]
  [ 8  8  8]
  [ 6  6  6]]]",No
"[[[20 20 20]
  [15 15 15]
  [10 10 10]
  ...
  [12 12 12]
  [11 11 11]
  [11 11 11]]

 [[15 15 15]
  [10 10 10]
  [ 5  5  5]
  ...
  [ 7  7  7]
  [ 6  6  6]
  [ 6  6  6]]

 [[10 10 10]
  [ 5  5  5]
  [ 0  0  0]
  ...
  [ 1  1  1]
  [ 0  0  0]
  [ 0  0  0]]

 ...

 [[ 7  7  7]
  [ 5  5  5]
  [ 3  3  3]
  ...
  [ 4  4  4]
  [ 3  3  3]
  [ 2  2  2]]

 [[11 11 11]
  [ 9  9  9]
  [ 7  7  7]
  ...
  [ 8  8  8]
  [ 7  7  7]
  [ 6  6  6]]

 [[ 8  8  8]
  [ 7  7  7]
  [ 4  4  4]
  ...
  [ 5  5  5]
  [ 4  4  4]
  [ 3  3  3]]]","[[[20 20 20]
  [15 15 15]
  [10 10 10]
  ...
  [12 12 12]
  [11 11 11]
  [11 11 11]]

 [[15 15 15]
  [10 10 10]
  [ 5  5  5]
  ...
  [ 7  7  7]
  [ 6  6  6]
  [ 6  6  6]]

 [[10 10 10]
  [ 5  5  5]
  [ 0  0  0]
  ...
  [ 1  1  1]
  [ 0  0  0]
  [ 0  0  0]]

 ...

 [[ 7  7  7]
  [ 5  5  5]
  [ 3  3  3]
  ...
  [ 4  4  4]
  [ 3  3  3]
  [ 2  2  2]]

 [[11 11 11]
  [ 9  9  9]
  [ 7  7  7]
  ...
  [ 8  8  8]
  [ 7  7  7]
  [ 6  6  6]]

 [[ 8  8  8]
  [ 7  7  7]
  [ 4  4  4]
  ...
  [ 5  5  5]
  [ 4  4  4]
  [ 3  3  3]]]",No
"[[[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 ...

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]]","[[[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 ...

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]]",No
"[[[ 3  3  3]
  [ 3  3  3]
  [ 4  4  4]
  ...
  [ 4  4  4]
  [ 4  4  4]
  [ 4  4  4]]

 [[ 4  4  4]
  [ 5  5  5]
  [ 5  5  5]
  ...
  [ 4  4  4]
  [ 4  4  4]
  [ 4  4  4]]

 [[ 7  7  7]
  [ 7  7  7]
  [ 8  8  8]
  ...
  [ 4  4  4]
  [ 4  4  4]
  [ 4  4  4]]

 ...

 [[13 13 13]
  [18 18 18]
  [12 12 12]
  ...
  [ 4  4  4]
  [ 4  4  4]
  [ 3  3  3]]

 [[12 12 12]
  [18 18 18]
  [13 13 13]
  ...
  [ 4  4  4]
  [ 3  3  3]
  [ 3  3  3]]

 [[10 10 10]
  [21 21 21]
  [26 26 26]
  ...
  [ 3  3  3]
  [ 3  3  3]
  [ 3  3  3]]]","[[[ 3  3  3]
  [ 3  3  3]
  [ 4  4  4]
  ...
  [ 4  4  4]
  [ 4  4  4]
  [ 4  4  4]]

 [[ 4  4  4]
  [ 5  5  5]
  [ 5  5  5]
  ...
  [ 4  4  4]
  [ 4  4  4]
  [ 4  4  4]]

 [[ 7  7  7]
  [ 7  7  7]
  [ 8  8  8]
  ...
  [ 4  4  4]
  [ 4  4  4]
  [ 4  4  4]]

 ...

 [[13 13 13]
  [18 18 18]
  [12 12 12]
  ...
  [ 4  4  4]
  [ 4  4  4]
  [ 3  3  3]]

 [[12 12 12]
  [18 18 18]
  [13 13 13]
  ...
  [ 4  4  4]
  [ 3  3  3]
  [ 3  3  3]]

 [[10 10 10]
  [21 21 21]
  [26 26 26]
  ...
  [ 3  3  3]
  [ 3  3  3]
  [ 3  3  3]]]",No
